,mean_inoculum_host,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
129,1.0,0.7801652892561983,10575,6,0.5651545272147053,40128,0.498,0.46586345381526106,0.232
130,10.0,0.9231655781790242,11200,4,0.21352139668367348,41864,0.508,0.2125984251968504,0.10800000000000001
131,9.0,0.9261551155115512,11527,4,0.21761983694815923,43164,0.508,0.2952755905511811,0.15
132,8.0,0.9085855466337245,11139,4,0.2538725670906451,41288,0.44,0.32727272727272727,0.144
133,7.0,0.8988095238095238,10970,4,0.25727612141840384,40092,0.5,0.252,0.126
134,6.0,0.8879568603954464,11123,4,0.2904770776865445,40932,0.488,0.2336065573770492,0.114
135,5.0,0.8705985915492958,11221,5,0.31899702742832126,40500,0.452,0.3495575221238938,0.158
136,4.0,0.831,10631,5,0.3591476240707898,38123,0.476,0.28991596638655465,0.138
137,3.0,0.7997293640054127,10680,4,0.42047362671660427,39415,0.438,0.3242009132420091,0.142
138,2.0,0.7342342342342343,10720,6,0.4830776533609936,39879,0.476,0.25630252100840334,0.12199999999999998
139,1.0,0.773037542662116,10628,6,0.5423210842352078,41366,0.46,0.4217391304347826,0.194
140,10.0,0.9252262888626525,11408,4,0.2161385771826174,42929,0.47,0.19148936170212766,0.09
141,9.0,0.913062862238074,11183,4,0.2314463798904536,41514,0.488,0.20081967213114754,0.098
142,8.0,0.9099365750528541,11394,5,0.23944142017843403,42114,0.538,0.20817843866171004,0.112
143,7.0,0.9011752136752137,11309,4,0.2500699468802479,41753,0.488,0.24180327868852458,0.118
144,6.0,0.8842034805890228,11113,5,0.2778659923322798,40316,0.476,0.27310924369747897,0.12999999999999998
145,5.0,0.8757225433526011,11175,4,0.3135047890735653,40474,0.524,0.3435114503816794,0.18000000000000002
146,4.0,0.811534500514933,10926,5,0.3585146414052178,38773,0.514,0.28793774319066145,0.148
147,3.0,0.8051948051948052,10780,5,0.4299962050936077,39487,0.424,0.29245283018867924,0.124
148,2.0,0.7876230661040787,10571,6,0.48250523703117143,38294,0.51,0.40784313725490196,0.208
149,1.0,0.7799671592775042,10544,7,0.5651236972720428,41220,0.488,0.45081967213114754,0.22
150,10.0,0.909423604757548,11048,4,0.20901745447814843,41824,0.458,0.13537117903930132,0.062000000000000006
151,9.0,0.9045287637698899,11025,4,0.23718903954627957,40893,0.55,0.14909090909090908,0.082
152,8.0,0.9068350021767523,11465,5,0.24901729965999403,42609,0.512,0.1640625,0.084
153,7.0,0.8814159292035398,11064,4,0.261694890021326,40384,0.474,0.1518987341772152,0.072
154,6.0,0.8838127467569092,10979,4,0.29361337102410345,40033,0.558,0.2616487455197133,0.14600000000000002
155,5.0,0.8697289156626506,10913,5,0.3210514246995151,38972,0.484,0.28512396694214875,0.13799999999999998
156,4.0,0.868632707774799,10358,5,0.3672801503062351,36993,0.482,0.3900414937759336,0.188
157,3.0,0.8357221609702316,10584,5,0.42374305059220296,37482,0.464,0.3577586206896552,0.166
158,2.0,0.7809278350515464,10497,5,0.49429073803065116,38691,0.486,0.3004115226337449,0.14600000000000002
159,1.0,0.7308917197452229,10699,6,0.5349373667980795,41399,0.522,0.3524904214559387,0.184
