,migration_rate,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
1282,0.001,,795,12,7.478137731893518,20486,0.0,,
1283,0.001,1.0,1411,9,2.88550474880721,20756,0.22,1.0,0.22
1284,0.001,1.0,1372,9,2.522711625258183,14914,0.41,1.0,0.41
1285,0.001,1.0,1151,9,4.648317747344695,24895,0.16,1.0,0.16
1286,0.001,1.0,1120,7,1.5571141581632655,10402,0.38,1.0,0.38
1287,0.001,,215,4,0.5850946457544619,673,0.0,,
1288,0.001,1.0,1369,13,8.255598104965367,46180,0.26,1.0,0.26
1289,0.001,,575,5,0.9179584120982986,3267,0.0,,
1290,0.001,,373,6,1.1854897253627927,2040,0.0,,
1291,0.001,1.0,1472,12,6.631187511076323,34471,0.2,1.0,0.2
1292,0.001,1.0,978,12,5.419595100388507,20630,0.16,1.0,0.16
1293,0.001,1.0,1345,9,2.5215074418540375,23806,0.17,1.0,0.17
1294,0.001,1.0,920,13,11.116293714555765,35553,0.17,1.0,0.17
1295,0.001,1.0,1072,14,6.714270299621297,22408,0.13,1.0,0.13
1296,0.001,1.0,1199,10,4.281886281381274,20800,0.21,1.0,0.21
1297,0.001,1.0,1343,10,2.5284176688479856,15821,0.15,1.0,0.15
1298,0.001,1.0,1208,9,3.6552344195430027,23936,0.07,1.0,0.07
1299,0.001,,1028,9,3.3542019939741703,17517,0.0,,
1300,0.0005,1.0,678,9,4.6665535454790685,12830,0.08,1.0,0.08
1301,0.0005,,793,9,3.5872331831647974,10821,0.0,,
1302,0.0005,1.0,1353,9,3.855134548120325,21920,0.2,1.0,0.2
1303,0.0005,,177,6,1.3335886877972485,997,0.0,,
1304,0.0005,,130,3,0.3340236686390533,279,0.0,,
1305,0.0005,,377,7,2.6715448641726884,3665,0.0,,
1306,0.0005,1.0,692,10,3.790153362959003,10726,0.18,1.0,0.18
1307,0.0005,1.0,1153,11,5.4128187788709115,32163,0.37,1.0,0.37
1308,0.0005,,181,5,0.9446598089191416,769,0.0,,
1309,0.0005,1.0,901,16,9.13722205318791,27662,0.14,1.0,0.14
1310,0.0005,1.0,982,10,4.195234174406112,16845,0.16,1.0,0.16
1311,0.0005,,169,3,0.4027870172613004,432,0.0,,
1312,0.0005,,287,4,0.4370576309048307,800,0.0,,
1313,0.0005,1.0,1017,8,2.5142489188224957,11692,0.17,1.0,0.17
1314,0.0005,,364,10,4.816349172805217,4617,0.0,,
1315,0.0005,,378,9,4.137314184933232,6300,0.0,,
1316,0.0005,,606,8,2.22963162652899,4835,0.0,,
1317,0.0005,,431,8,2.181771200628765,3924,0.0,,
1318,0.0005,,756,5,1.263164525069287,5650,0.0,,
1319,0.0005,1.0,1044,7,2.610931284038696,12038,0.16,1.0,0.16
1320,0.0005,,233,5,0.7131094696899924,846,0.0,,
1321,0.0005,1.0,1019,14,13.558475327944713,60579,0.2,1.0,0.2
1322,0.0005,,235,4,0.7494069714803079,881,0.0,,
1323,0.0005,,281,5,0.8085510568508503,1000,0.0,,
1324,0.0005,,290,6,0.8254458977407849,1208,0.0,,
1325,0.0005,,157,5,0.6861130268976429,509,0.0,,
1326,0.0005,1.0,783,8,2.3995472109269618,7199,0.25,1.0,0.25
1327,0.0005,1.0,1016,13,10.4095021002542,33795,0.11,1.0,0.11
1328,0.0005,,305,4,0.6222413329750067,1308,0.0,,
1329,0.0005,,368,7,1.667533081285444,2250,0.0,,
1330,0.0005,,941,9,2.742008015982274,11456,0.0,,
1331,0.0005,,436,8,2.673785876609713,5150,0.0,,
1332,0.0005,,567,10,4.56370824507215,9593,0.0,,
1333,0.0005,,724,11,7.148673346356949,22553,0.0,,
1334,0.0005,,823,9,2.9089349488948506,10869,0.0,,
1335,0.0005,,426,9,4.592320747647072,6610,0.0,,
1336,0.0005,,1016,9,3.1313317626635255,15796,0.0,,
1337,0.0005,,332,6,1.6333284947016984,1776,0.0,,
1338,0.0005,,344,7,3.117597349918875,3696,0.0,,
1339,0.0005,,369,7,2.900448733484625,3721,0.0,,
1340,0.0005,,254,5,1.2599200198400398,1649,0.0,,
1341,0.0005,,328,8,2.9109161213563355,3788,0.0,,
