,contact_rate_host_host,fitnessHost,mutant_frac,mut_frac_inf_hosts,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,pwd_genomes,mut_frac_hosts
115,0.174,0.211,0.5687885010266941,0.16,7750,5,0.30715806035379817,16843,0.5,2.5363452708907253,0.08
116,0.174,0.158,0.5106888361045131,0.11587982832618025,7209,4,0.21318164335086068,12698,0.466,2.3352336299216794,0.054
117,0.174,0.105,0.45226130653266333,0.07627118644067797,6938,3,0.13963025141929578,10258,0.472,2.182850346020761,0.036
118,0.174,0.053,0.38461538461538464,0.015384615384615385,6567,3,0.0857305525277638,8363,0.39,2.1028532951771735,0.006
119,0.174,0.0,0.31868131868131866,0.0,6199,1,0.00016129031838339327,6198,0.372,1.952737603305785,0.0
120,0.168,1.0,1.0,1.0,9436,22,21.659067765779717,1010781,0.45,23.414603039642895,0.45
121,0.168,0.947,1.0,1.0,9416,18,12.971595195076404,657144,0.396,10.321581685744016,0.396
122,0.168,0.895,1.0,1.0,9665,16,6.027314947267342,349000,0.438,8.89346600480672,0.438
123,0.168,0.842,1.0,1.0,9426,12,2.780095900621856,160010,0.402,6.374199227346081,0.402
124,0.168,0.789,1.0,1.0,9639,10,1.8459895106809503,109633,0.376,7.328038049940547,0.376
125,0.168,0.737,1.0,1.0,9287,9,1.509129082777206,81918,0.394,6.075115055884287,0.394
126,0.168,0.684,0.9210019267822736,0.8019323671497585,9549,8,1.3290627095604823,79031,0.414,4.875177221172023,0.33199999999999996
127,0.168,0.632,0.8900255754475703,0.7624309392265194,9474,8,1.0719407657208695,58666,0.362,5.3436177322343505,0.276
128,0.168,0.579,0.8394160583941606,0.6580310880829016,9250,7,0.9816239707815924,52293,0.386,3.9146274653031408,0.254
129,0.168,0.526,0.7410071942446043,0.4881516587677725,9138,7,0.7317294085710215,41449,0.422,3.4122939997065873,0.206
130,0.168,0.474,0.8036175710594315,0.5978835978835979,8730,6,0.6471275204066504,35953,0.378,3.475138888888889,0.226
131,0.168,0.421,0.7632743362831859,0.5023255813953489,8448,6,0.5451572582850881,29421,0.43,3.289323621227888,0.21600000000000003
132,0.168,0.368,0.6197183098591549,0.2894736842105263,8203,5,0.4782872094692034,25468,0.38,3.018090688385935,0.11
