,pop_size_host:my_population,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
287,15,,16,2,0.234375,24,0.0,,
288,20,1.0,422,17,22.777633027110802,53754,0.45,1.0,0.45
289,25,1.0,524,5,0.7161113862828506,1973,0.36,1.0,0.36
290,30,1.0,659,8,2.038196467264283,10586,0.5,1.0,0.5
291,35,1.0,776,6,1.1298341348708683,6109,0.6571428571428571,1.0,0.6571428571428571
292,40,1.0,939,7,1.532126375576855,6551,0.475,1.0,0.475
293,45,1.0,1017,7,1.2933251731382622,8649,0.28888888888888886,1.0,0.28888888888888886
294,50,1.0,1114,6,0.967923345441887,6515,0.54,1.0,0.54
295,60,0.6,1355,5,0.5138361405754278,4340,0.4,0.3333333333333333,0.13333333333333333
296,70,1.0,1527,6,0.697121320702363,8626,0.4142857142857143,1.0,0.4142857142857143
297,80,1.0,1658,8,1.148771682713924,24054,0.525,1.0,0.525
298,90,0.7216494845360825,1975,5,0.5625498477808043,7575,0.4888888888888889,0.38636363636363635,0.18888888888888888
299,100,0.7849462365591398,2323,5,0.5568674556351179,8092,0.44,0.5454545454545454,0.24
