,recombine_in_host,mutant_frac,num_genomes,max_gen_distance,gen_variance,ssq_genomes,infected_hosts,mut_frac_inf_hosts,mut_frac_hosts
115,0.4444444444444444,0.7203125,11284,6,0.5530931230437239,44560,0.524,0.31679389312977096,0.16599999999999998
116,0.33333333333333337,0.7776183644189383,11274,5,0.5395860993954229,43691,0.554,0.4404332129963899,0.24400000000000002
117,0.22222222222222232,0.7395264116575592,10974,6,0.5502187950650558,41983,0.466,0.38626609442060084,0.18
118,0.11111111111111116,0.7475409836065574,10907,6,0.529608347910948,41568,0.51,0.396078431372549,0.20199999999999999
119,0.0,0.7099841521394612,10563,5,0.5648717881913424,41161,0.528,0.3068181818181818,0.162
120,1.0,0.7433155080213903,11709,6,0.5392921717143039,45712,0.458,0.37117903930131,0.16999999999999998
121,0.8888888888888888,0.7401574803149606,11969,5,0.5651998578973068,49231,0.506,0.34782608695652173,0.176
122,0.7777777777777778,0.7691107644305772,11801,7,0.5547211291771782,47262,0.506,0.4150197628458498,0.21
123,0.6666666666666667,0.7538200339558574,11384,6,0.5467565467727511,44046,0.5,0.42,0.21
124,0.5555555555555556,0.7231833910034602,11331,5,0.5343649961542254,43100,0.498,0.357429718875502,0.178
125,0.4444444444444444,0.6958955223880597,11147,6,0.5875515044153863,44497,0.49,0.3346938775510204,0.164
126,0.33333333333333337,0.7582417582417582,11059,6,0.552905896536118,42665,0.536,0.4253731343283582,0.228
127,0.22222222222222232,0.7115384615384616,11043,6,0.5533091116678902,42699,0.486,0.32098765432098764,0.156
128,0.11111111111111116,0.7222222222222222,10553,6,0.5209442513904783,39526,0.47,0.3404255319148936,0.15999999999999998
129,0.0,0.7675507020280812,10839,7,0.5878776381663327,43309,0.498,0.40160642570281124,0.2
130,1.0,0.7412451361867705,12276,6,0.5379311766696279,47927,0.462,0.42424242424242425,0.196
131,0.8888888888888888,0.768695652173913,11966,6,0.5581580816938873,47046,0.438,0.3926940639269406,0.172
132,0.7777777777777778,0.7382352941176471,11865,6,0.5517852636655988,47655,0.54,0.34074074074074073,0.184
133,0.6666666666666667,0.7572674418604651,11534,5,0.5273743937939803,43636,0.534,0.37453183520599254,0.20000000000000004
134,0.5555555555555556,0.7182320441988951,11309,6,0.5760095465694611,44855,0.456,0.32894736842105265,0.15000000000000002
135,0.4444444444444444,0.7830508474576271,11294,6,0.5546355753554507,43358,0.47,0.4553191489361702,0.214
136,0.33333333333333337,0.7035775127768313,10821,5,0.519980790482754,39708,0.47,0.25957446808510637,0.12199999999999998
137,0.22222222222222232,0.7616747181964574,10772,6,0.5206425189620488,40299,0.478,0.3807531380753138,0.182
138,0.11111111111111116,0.7084690553745928,10953,5,0.5682677483332271,43585,0.534,0.3295880149812734,0.176
139,0.0,0.7397959183673469,10590,5,0.5110820513232056,39347,0.496,0.38306451612903225,0.19
140,1.0,0.6833333333333333,12288,6,0.5351458390553793,48370,0.468,0.2692307692307692,0.126
141,0.8888888888888888,0.7526881720430108,11742,6,0.5271002779018761,45151,0.502,0.35856573705179284,0.18000000000000002
142,0.7777777777777778,0.7295690936106983,11850,5,0.5614952304652031,46004,0.536,0.3208955223880597,0.17200000000000001
143,0.6666666666666667,0.7693409742120344,11585,5,0.5382650201946952,45203,0.524,0.38549618320610685,0.20199999999999999
144,0.5555555555555556,0.7597402597402597,11210,6,0.5583848449955079,44369,0.506,0.4150197628458498,0.21
145,0.4444444444444444,0.7852664576802508,10955,6,0.5287915106840334,40148,0.476,0.42436974789915966,0.20199999999999999
146,0.33333333333333337,0.8064046579330422,10974,6,0.5614481055990352,43204,0.524,0.49236641221374045,0.258
147,0.22222222222222232,0.7471451876019576,10845,6,0.5492423203780332,41960,0.47,0.3404255319148936,0.15999999999999998
148,0.11111111111111116,0.7735294117647059,10480,6,0.5679747683701416,39850,0.526,0.4144486692015209,0.218
149,0.0,0.7753846153846153,10572,6,0.531082352401399,39765,0.524,0.44274809160305345,0.232
150,1.0,0.8293051359516617,12336,7,0.6100411720843618,51708,0.484,0.5330578512396694,0.258
151,0.8888888888888888,0.7393617021276596,11708,6,0.5520863839243245,46155,0.456,0.35526315789473684,0.162
152,0.7777777777777778,0.748829953198128,11748,5,0.5487417341170597,45527,0.526,0.38783269961977185,0.20400000000000001
153,0.6666666666666667,0.7441016333938294,11285,6,0.5203246062218876,41933,0.45,0.37333333333333335,0.168
154,0.5555555555555556,0.7039473684210527,11568,6,0.5514602137890762,46387,0.432,0.375,0.162
155,0.4444444444444444,0.7441016333938294,11086,6,0.5662665176971251,42233,0.474,0.4050632911392405,0.19199999999999998
156,0.33333333333333337,0.7774436090225564,10927,6,0.5356903471375454,41547,0.492,0.3983739837398374,0.196
157,0.22222222222222232,0.7612359550561798,10861,7,0.5966365534343245,43897,0.558,0.3906810035842294,0.21800000000000003
158,0.11111111111111116,0.7382113821138211,10819,6,0.5293630683870565,40550,0.486,0.3374485596707819,0.164
159,0.0,0.7043478260869566,10545,5,0.5189788126076212,39240,0.42,0.3523809523809524,0.148
160,1.0,0.7455089820359282,11990,6,0.5536126087836611,46296,0.54,0.37037037037037035,0.2
161,0.8888888888888888,0.6943972835314092,11927,7,0.5707866421881769,47075,0.524,0.31297709923664124,0.164
162,0.7777777777777778,0.7327433628318584,11827,6,0.5965507253113536,47515,0.456,0.33771929824561403,0.154
163,0.6666666666666667,0.773851590106007,11702,6,0.5512687443764206,45652,0.446,0.4260089686098655,0.19
164,0.5555555555555556,0.7103718199608611,11087,7,0.5405754135793696,41701,0.482,0.38589211618257263,0.186
165,0.4444444444444444,0.7471098265895953,11373,6,0.5155591750192617,43824,0.568,0.38380281690140844,0.21799999999999997
166,0.33333333333333337,0.736,11501,6,0.5593344328824897,46569,0.458,0.2794759825327511,0.128
167,0.22222222222222232,0.7615062761506276,10892,6,0.5384120579457454,40518,0.53,0.35471698113207545,0.188
